epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
31,24.730171,0.0551,0.2947,24.37155,0.233,0.9611,0.9855,0.0014,5.0,0.0967953,173.76,7790,16311,99,8.2031,4.1903,3.4987,7.3534,2.3405,9.0351,,,,,,
32,24.04978,0.0647,0.3785,23.702922,0.1359,0.7572,0.9856,0.0011,5.0,0.09650086,173.31,7790,16311,98,9.4263,4.9318,4.1821,8.7902,2.8153,10.7831,,,,,,
33,23.448452,0.0599,0.4528,23.526161,0.1747,0.9708,1.0033,0.0012,5.0,0.09619398,173.26,7865,16311,98,8.902,4.574,3.8695,8.189,2.5988,9.9634,,,,,,
34,22.864825,0.1174,0.5702,34.359027,0.0582,0.3398,1.5027,0.0004,5.0,0.09587472,173.31,7864,16311,99,6.4848,3.3528,2.6619,5.8856,1.7396,7.0877,,,,,,
35,22.423642,0.0838,0.5318,21.266817,0.2233,1.1941,0.9484,0.002,5.0,0.09554319,259.06,7864,16311,99,9.9505,5.1512,4.3821,9.3567,2.989,11.5542,36.9508,9.836,19.0542,22.3065,12.6767,27.4809
36,21.90051,0.1054,0.6684,22.727677,0.1942,1.1067,1.0378,0.0015,5.0,0.09519946,173.27,7789,16311,99,8.6205,4.4109,3.9355,8.3315,2.6638,10.1553,,,,,,
37,21.558583,0.1294,0.7163,29.225569,0.1068,0.4174,1.3556,0.0011,5.0,0.09484364,173.28,7789,16311,99,6.9217,3.6457,3.0211,6.4195,2.1095,7.9944,,,,,,
38,21.173765,0.1701,0.8025,20.535057,0.3204,1.3494,0.9698,0.0027,5.0,0.0944758,173.28,7789,16311,99,9.7757,4.9564,4.3103,9.1793,2.922,11.2784,,,,,,
39,20.887664,0.1485,0.908,20.909375,0.4757,1.6115,1.001,0.0039,5.0,0.09409606,173.33,7789,16311,99,9.203,4.8296,3.9957,8.5663,2.7133,10.6125,,,,,,
40,20.557951,0.1869,0.9655,20.356617,0.3495,1.4562,0.9902,0.0028,5.0,0.09370452,259.08,7789,16311,99,9.7272,5.159,4.3937,9.3224,3.0036,11.4807,33.5178,8.9995,17.5243,20.4878,11.7016,25.2801
