epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
30,16.695412,5.0901,11.8122,20.049324,4.6889,9.9602,1.2009,0.0289,5.0,0.08768565,744.67,10391,16311,99,18.2992,9.7386,8.7351,17.3259,5.8043,20.3392,68.3162,17.1898,43.6455,42.5517,30.5162,52.1802
31,16.578388,4.9511,11.6516,20.3476,4.019,8.8729,1.2274,0.0237,5.0,0.0865418,556.63,10395,16311,100,18.5807,9.7872,8.8244,17.408,5.8645,20.4507,,,,,,
32,16.518411,5.0613,12.0207,19.794027,4.6986,10.4844,1.1983,0.0291,5.0,0.08535534,556.75,10395,16311,100,18.571,9.9176,8.8205,17.3728,5.8839,20.2932,,,,,,
33,16.316117,5.44,12.5815,19.655107,4.8442,11.0475,1.2046,0.0308,5.0,0.08412766,556.72,10395,16311,100,18.4157,9.8139,8.8244,17.4175,5.8713,20.3441,,,,,,
34,16.17036,5.5454,12.9002,19.958588,4.3782,9.7563,1.2343,0.0256,5.0,0.08286018,556.81,10391,16311,82,18.5807,9.7855,8.9972,17.7482,5.9518,20.7748,,,,,,
35,16.048544,5.8905,13.0991,20.016647,4.1841,9.3583,1.2473,0.025,5.0,0.0815544,744.55,10395,16311,100,18.8525,9.8878,9.0127,17.7722,5.9033,20.5202,68.8075,17.2488,44.4057,43.1532,31.1628,52.9121
36,15.946712,5.8642,13.3699,19.392622,4.9704,11.0378,1.2161,0.0309,5.0,0.08021182,556.75,10387,16311,100,18.8137,9.9056,9.0923,17.8598,6.014,20.8107,,,,,,
37,15.756668,6.1901,13.8756,20.454825,3.8637,8.805,1.2982,0.023,5.0,0.07883402,556.84,10388,16311,100,19.0855,10.1656,9.0768,17.8939,6.0373,20.9222,,,,,,
38,15.599291,6.4489,14.3117,19.415098,5.0772,11.096,1.2446,0.0296,5.0,0.07742259,556.86,10391,16311,100,19.0079,10.0287,9.1467,17.8576,6.045,20.6767,,,,,,
39,15.497196,6.4705,14.5058,19.662346,4.8733,10.4747,1.2688,0.0307,5.0,0.0759792,556.8,10390,16311,100,18.9302,9.8893,9.0438,17.7492,5.9548,20.6388,,,,,,
40,15.339851,6.6742,14.8773,20.104812,3.9608,9.3777,1.3106,0.0238,5.0,0.07450551,744.72,10388,16311,100,18.7846,9.9668,9.0981,17.8306,6.0693,20.9785,70.1088,17.4757,45.9423,44.1206,32.4389,54.3376
41,15.147264,7.0073,15.3877,19.839583,4.3297,9.3389,1.3098,0.0275,5.0,0.07300325,556.52,10388,16311,80,19.0952,10.1287,8.8904,17.6943,5.8373,20.6097,,,,,,
42,15.00091,7.1726,15.9413,19.666293,4.32,9.834,1.311,0.0267,5.0,0.07147417,556.76,10388,16311,100,18.7943,9.8746,9.0108,17.7104,6.0198,20.682,,,,,,
43,14.709202,7.5729,16.5572,18.799933,5.912,12.5425,1.2781,0.0378,5.0,0.06992005,556.9,10390,16311,100,19.435,10.3126,9.3001,18.3116,6.1703,21.283,,,,,,
44,14.621347,7.6663,16.9359,18.858185,5.3878,12.4551,1.2898,0.0328,5.0,0.06834271,556.83,10386,16311,100,19.3476,10.22,9.3758,18.4959,6.18,21.5483,,,,,,
45,14.404304,7.8916,17.5302,18.971533,6.0771,12.756,1.3171,0.0362,5.0,0.06674398,744.38,10391,16311,100,19.0176,10.0537,9.2865,18.1382,6.1111,21.0275,70.2071,17.6625,46.0171,44.3119,32.5223,54.5267
46,14.18789,8.4667,18.2659,18.822449,6.1645,12.9696,1.3267,0.0399,5.0,0.06512573,556.58,10386,16311,100,19.2797,10.2612,9.3428,18.3716,6.1751,21.3611,,,,,,
47,13.995666,8.8957,18.7764,18.952696,5.9218,12.4842,1.3542,0.0368,5.0,0.06348984,556.75,10386,16311,100,19.4059,10.2999,9.2826,18.1802,6.1732,21.3012,,,,,,
48,13.822085,9.1258,19.3467,18.620193,6.611,13.7268,1.3471,0.0415,5.0,0.06183822,556.73,10386,16311,100,19.503,10.231,9.4399,18.51,6.2256,21.351,,,,,,
49,13.657172,9.4349,19.7637,18.272299,7.2032,15.0471,1.3379,0.0472,5.0,0.0601728,556.81,10386,16311,100,19.1244,10.104,9.4263,18.5343,6.2305,21.5349,,,,,,
50,13.418563,9.8567,20.7463,18.773578,6.213,12.892,1.3991,0.0421,5.0,0.05849552,744.64,10386,16311,100,19.2506,10.2403,9.3952,18.4613,6.1703,21.3726,73.1068,18.44,48.7433,46.8861,34.5856,57.6529
51,13.184599,10.4342,21.2711,18.58052,5.8926,12.5328,1.4093,0.0388,5.0,0.05680833,556.61,10391,16311,100,19.6874,10.4457,9.4515,18.6635,6.2217,21.5262,,,,,,
52,13.003697,10.7841,22.1146,18.240073,6.9896,14.9791,1.4027,0.046,5.0,0.05511321,556.84,10386,16311,100,19.4641,10.2691,9.5505,18.7693,6.2761,21.6382,,,,,,
53,12.781913,11.0957,22.9558,18.370083,6.1353,13.1929,1.4372,0.0402,5.0,0.05341212,556.63,10386,16311,100,20.1534,10.6793,9.5874,18.9309,6.2732,21.9156,,,,,,
54,12.488282,11.7116,23.8593,18.107511,7.0479,14.7753,1.45,0.0477,5.0,0.05170706,556.6,10390,16311,100,19.8136,10.5662,9.5602,18.8906,6.2712,21.8363,,,,,,
55,12.350058,12.3035,24.734,17.820331,7.9216,16.3091,1.4429,0.0532,5.0,0.05,744.46,10390,16311,100,19.9981,10.5725,9.6593,18.9991,6.3392,21.833,74.7436,18.8575,50.6964,48.5087,36.2752,59.8197
56,12.111188,12.6654,25.4553,17.858224,7.6789,15.6393,1.4745,0.053,5.0,0.04829294,556.6,10390,16311,99,19.7457,10.5365,9.6961,19.0201,6.3771,21.9532,,,,,,
57,11.803694,13.3268,26.7279,17.640167,8.0672,16.4838,1.4945,0.0522,5.0,0.04658788,556.75,10386,16311,100,20.2796,10.7596,9.7447,19.1586,6.4343,22.2552,,,,,,
58,11.539349,14.1296,27.7128,17.903789,7.7565,15.9984,1.5515,0.0536,5.0,0.04488679,556.71,10390,16311,99,20.1243,10.5567,9.6923,18.9216,6.3906,21.9226,,,,,,
59,11.321877,14.6137,28.7169,17.190177,9.0185,17.9983,1.5183,0.0612,5.0,0.04319167,556.82,10390,16311,100,20.4252,10.8788,9.9369,19.2488,6.4994,22.2372,,,,,,
60,11.119383,15.3183,29.5461,17.150888,9.3292,17.8526,1.5424,0.0645,5.0,0.04150448,744.72,10386,16311,100,20.3864,10.8282,9.7777,19.113,6.48,22.0399,76.9363,19.6432,52.7459,50.614,37.8115,62.2836
61,10.862056,16.0851,30.8833,17.596239,7.9507,15.7169,1.62,0.0516,5.0,0.0398272,556.59,10390,16311,100,20.5223,10.9671,9.9214,19.4162,6.5013,22.183,,,,,,
62,10.559644,16.828,31.945,16.7051,10.8339,20.2505,1.582,0.0723,5.0,0.03816178,556.62,10390,16311,100,20.6194,10.9399,9.9893,19.3793,6.5877,22.3707,,,,,,
63,10.302605,17.3744,32.9826,17.232963,8.9894,17.5226,1.6727,0.0614,5.0,0.03651016,556.64,10390,16311,100,20.2893,10.7235,9.8029,19.0469,6.4809,22.0841,,,,,,
64,10.048499,18.6781,34.5092,16.800018,9.8049,18.8137,1.6719,0.0659,5.0,0.03487427,556.67,10386,16311,100,20.9009,11.0866,9.999,19.4357,6.5945,22.5661,,,,,,
65,9.799665,19.1406,35.6523,16.685316,10.4747,19.7262,1.7026,0.0719,5.0,0.03325602,744.39,10386,16311,100,20.6873,10.9789,9.9854,19.4461,6.5702,22.334,79.7019,20.3826,55.4951,53.1965,40.024,65.5424
66,9.523961,20.2502,36.8745,16.282041,11.4261,21.6678,1.7096,0.0796,5.0,0.03165729,556.53,10386,16311,100,21.1436,11.2938,10.1485,19.7783,6.6683,22.6064,,,,,,
67,9.223011,21.192,38.4346,16.463657,11.1348,20.8523,1.7851,0.0773,5.0,0.03007995,556.78,10386,16311,100,20.6873,11.1415,10.0515,19.6358,6.6003,22.5532,,,,,,
68,9.068866,22.141,39.1967,16.672053,10.4068,19.435,1.8384,0.0747,5.0,0.02852583,556.66,10386,16311,99,20.7456,11.0307,10.0689,19.7065,6.544,22.4261,,,,,,
69,8.708509,23.3872,41.0468,16.241901,11.3096,21.2795,1.8651,0.0779,5.0,0.02699675,556.68,10386,16311,100,20.9688,11.2041,10.3097,19.9328,6.7479,22.7638,,,,,,
70,8.418165,24.7316,42.7027,15.766257,12.5133,22.891,1.8729,0.0902,5.0,0.02549449,744.44,10386,16311,100,21.2795,11.3766,10.4029,20.2422,6.7595,23.0281,81.4178,20.8967,57.4832,55.0171,41.5752,67.8289
71,8.188558,25.3451,44.04,15.907726,12.4939,22.891,1.9427,0.0913,5.0,0.0240208,556.35,10386,16311,100,21.1727,11.2826,10.3427,20.053,6.8042,23.0563,,,,,,
72,7.962393,26.6991,45.497,16.325844,11.2708,21.561,2.0504,0.0774,5.0,0.02257741,556.63,10386,16311,100,20.93,11.1375,10.2844,19.8134,6.7974,22.718,,,,,,
73,7.643667,28.0196,46.99,15.953572,12.7463,23.0657,2.0872,0.091,5.0,0.02116598,556.68,10386,16311,100,20.8912,11.1578,10.331,19.9945,6.7625,22.6729,,,,,,
74,7.441893,29.098,48.3896,15.856715,12.9405,23.8132,2.1307,0.0962,5.0,0.01978818,556.59,10390,16311,99,20.9494,11.1908,10.2708,19.955,6.7314,22.7907,,,,,,
75,7.171636,30.7827,50.1414,15.967161,11.6494,22.5512,2.2264,0.0852,5.0,0.0184456,744.62,10390,16311,100,21.4154,11.5385,10.3854,20.1871,6.8217,23.0161,82.7142,21.2025,59.4387,56.6511,43.1775,69.8721
76,6.912467,31.9785,51.5649,15.656612,13.1152,24.0171,2.265,0.0941,5.0,0.01713982,556.51,10386,16311,100,21.6096,11.6797,10.4165,20.2895,6.8236,23.005,,,,,,
77,6.707281,32.894,52.9668,15.455032,14.3287,25.1432,2.3042,0.1033,5.0,0.01587234,556.68,10391,16311,100,21.629,11.6497,10.5465,20.5463,6.9265,23.3941,,,,,,
