epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
30,15.107641,7.5225,16.4302,17.677023,6.0965,13.523,1.1701,0.0442,5.0,0.09735691,741.93,9927,16311,100,19.6777,10.6586,9.0826,18.153,5.9732,21.0304,77.5738,20.4316,50.0518,50.3294,34.8167,60.5828
31,15.086194,7.2997,16.1043,17.531055,5.8247,13.4356,1.1621,0.0418,5.0,0.09710171,554.32,9927,16311,100,19.5612,10.5064,9.0224,18.0563,5.9887,21.0597,,,,,,
32,15.129225,7.1199,16.0204,17.6108,6.1256,13.3968,1.164,0.0427,5.0,0.09683512,554.58,9927,16311,100,19.5224,10.5697,9.0554,18.1316,5.9936,21.1448,,,,,,
33,15.083049,7.3692,16.3152,17.625741,5.5626,12.6784,1.1686,0.04,5.0,0.0965572,554.39,9927,16311,100,19.2603,10.4993,8.8846,17.9583,5.8955,20.9144,,,,,,
34,15.068994,7.3452,16.1115,17.858674,5.3102,12.2221,1.1851,0.0382,5.0,0.09626802,554.46,9927,16311,100,18.6778,10.1084,8.5118,17.2054,5.6509,20.1526,,,,,,
35,15.066823,7.3068,15.9629,18.092404,5.1645,12.028,1.2008,0.038,5.0,0.09596765,741.74,9927,16311,100,19.1535,10.3559,8.8477,17.8332,5.7926,20.685,76.4115,20.0644,49.0889,49.3194,33.9942,59.3128
36,15.055534,7.2709,16.1954,17.662823,6.0868,13.2414,1.1732,0.0434,5.0,0.09565616,555.87,10001,16311,99,19.2991,10.4049,9.0321,17.8557,6.0014,21.0031,,,,,,
37,15.079463,7.4003,16.3224,17.439454,6.0382,14.0957,1.1565,0.0433,5.0,0.09533363,554.56,9956,16311,100,19.1632,10.2985,9.0069,18.1092,6.0266,21.1115,,,,,,
38,15.016931,7.3404,16.3799,18.733729,3.9608,10.1544,1.2475,0.0273,5.0,0.09500013,554.43,9930,16311,100,18.8525,10.2227,8.7584,17.6399,5.7635,20.4465,,,,,,
39,15.075615,7.3715,16.1259,18.328295,5.1354,12.3192,1.2158,0.0376,5.0,0.09465575,554.46,9930,16311,100,18.7652,10.1333,8.6283,17.4545,5.6528,20.3113,,,,,,
40,15.03819,7.1822,16.193,18.308552,4.2617,10.1835,1.2175,0.0292,5.0,0.09430057,741.56,9929,16311,100,19.1341,10.3352,8.8768,17.6904,5.8577,20.664,76.9507,20.1888,49.3453,49.7194,34.0548,59.6339
41,14.972751,7.441,16.4422,17.890495,5.4752,12.9599,1.1949,0.0394,5.0,0.09393467,554.16,9931,16311,100,19.0564,10.267,9.0147,17.9978,5.9742,20.9698,,,,,,
42,14.970699,7.5345,16.4997,18.262744,4.4365,10.6397,1.2199,0.0313,5.0,0.09355815,554.37,9931,16311,100,19.1632,10.3767,8.6885,17.6641,5.6888,20.5122,,,,,,
43,14.937971,7.5681,16.4877,18.235139,5.2325,12.4454,1.2207,0.0362,5.0,0.09317109,554.28,9931,16311,100,18.9302,10.2111,8.8865,17.749,5.9014,20.8925,,,,,,
44,14.884544,7.4578,16.6315,17.377226,6.4363,14.3384,1.1675,0.047,5.0,0.09277358,554.36,9931,16311,100,19.3671,10.4549,9.1214,18.2042,5.9965,21.1066,,,,,,
45,14.898417,7.5393,16.8208,17.776283,5.7276,13.1249,1.1932,0.0424,5.0,0.09236574,741.71,9931,16311,100,18.9982,10.3225,8.7623,17.7754,5.7159,20.5776,77.1329,20.2504,49.8318,50.0506,34.6475,60.3922
46,14.819158,7.6064,16.8496,17.936879,5.7761,13.1055,1.2104,0.0397,5.0,0.09194764,554.2,9931,16311,100,18.6487,9.9745,8.7758,17.4988,5.8509,20.4563,,,,,,
47,14.855013,7.5393,16.8376,18.545134,4.3297,10.3485,1.2484,0.0317,5.0,0.0915194,554.29,9931,16311,100,19.0855,10.3501,8.7856,17.989,5.7208,20.7696,,,,,,
48,14.848407,7.7574,17.0677,18.436375,5.2422,11.727,1.2416,0.0376,5.0,0.09108112,554.32,9931,16311,100,18.338,9.8196,8.5273,17.0688,5.6422,20.0138,,,,,,
49,14.793346,7.8772,17.3936,17.945279,5.5917,12.2609,1.2131,0.0402,5.0,0.0906329,554.24,9931,16311,100,19.037,10.1613,8.8477,17.7912,5.8392,20.6931,,,,,,
50,14.770304,7.6376,16.967,18.278627,5.116,11.795,1.2375,0.0344,5.0,0.09017485,741.37,9931,16311,100,18.8914,10.1005,8.8496,17.6832,5.8596,20.5104,76.7734,20.1371,49.6544,49.7467,34.5746,59.9384
51,14.675001,7.7478,17.1707,17.75551,5.9509,13.0084,1.2099,0.0404,5.0,0.08970708,554.14,9931,16311,100,19.3088,10.3216,8.9914,18.0037,5.9082,20.9181,,,,,,
