epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
1,36.487001,0.0,0.0,34.760305,0.0,0.0,0.9527,0.0,5.0,0.0125,369.21,9167,16311,99,2.359,1.0634,0.8698,1.9194,0.5233,2.2713,,,,,,
2,35.941006,0.0,0.0,35.374987,0.0,0.0,0.9843,0.0,5.0,0.025,359.44,15260,16311,100,3.2715,1.4998,1.1649,2.5676,0.7009,3.0456,,,,,,
3,35.489423,0.0,0.0,36.428237,0.0,0.0,1.0265,0.0,5.0,0.0375,358.52,15124,16311,100,3.6793,1.7144,1.2484,2.7245,0.7426,3.2442,,,,,,
4,35.012973,0.0,0.0,35.47864,0.0,0.0,1.0133,0.0,5.0,0.05,319.85,15022,16311,100,4.2035,1.994,1.3902,3.1019,0.8455,3.7319,,,,,,
5,34.501392,0.0,0.0,35.396484,0.0,0.0,1.0259,0.0,5.0,0.0625,489.78,14931,16311,100,4.3103,2.076,1.4698,3.3302,0.897,3.9404,30.9544,7.2322,14.3275,15.9309,8.9404,19.6404
6,34.12079,0.0,0.0,35.386595,0.0,0.0097,1.0371,0.0,5.0,0.075,354.29,14908,16311,100,4.1841,1.9799,1.4872,3.2915,0.93,4.0793,,,,,,
7,33.607049,0.0,0.0,34.255104,0.0,0.0097,1.0193,0.0,5.0,0.0875,355.1,14908,16311,100,4.718,2.3057,1.6853,3.8209,1.0436,4.6354,,,,,,
8,33.085644,0.0,0.0,35.481427,0.0,0.0,1.0724,0.0,5.0,0.1,356.11,14908,16311,100,4.6986,2.2959,1.7882,4.072,1.1164,4.9183,,,,,,
9,31.756917,0.0,0.0048,32.40196,0.0194,0.0582,1.0203,0.0,5.0,0.1,319.16,14908,16311,100,5.9412,2.9104,2.1357,4.8034,1.3319,5.8008,,,,,,
10,30.237242,0.0024,0.0168,31.653925,0.0097,0.1262,1.0469,0.0,5.0,0.09999331,489.4,14908,16311,100,6.2033,3.0286,2.3202,5.1881,1.4766,6.3319,46.6413,11.7534,21.6631,25.107,13.2722,29.8976
11,28.505567,0.0072,0.0551,36.479546,0.0291,0.1456,1.2797,0.0001,5.0,0.09997323,355.0,14908,16311,100,6.048,2.9138,2.227,4.8985,1.4232,5.975,,,,,,
12,26.846539,0.0455,0.2036,31.266317,0.068,0.3301,1.1646,0.0005,5.0,0.09993977,354.72,14908,16311,100,7.407,3.6986,2.7162,6.2019,1.7057,7.2526,,,,,,
13,25.339902,0.0551,0.4216,28.936716,0.1844,0.7863,1.1419,0.0009,5.0,0.09989295,355.2,14984,16311,100,7.708,3.883,2.792,6.2405,1.7901,7.5332,,,,,,
14,24.078501,0.1461,0.7882,30.997337,0.1262,0.5436,1.2873,0.0006,5.0,0.09983276,319.8,14983,16311,100,7.8439,4.0513,2.8017,6.4736,1.7513,7.6497,,,,,,
15,23.127823,0.2276,1.1427,25.663871,0.4077,1.8056,1.1097,0.0024,5.0,0.09975924,489.4,14909,16311,100,8.9894,4.6232,3.3317,7.3978,2.1629,8.8918,62.7713,16.5659,30.642,35.5782,18.5442,40.7613
16,22.271655,0.3522,1.6842,28.667142,0.2524,1.097,1.2872,0.0017,5.0,0.09967239,354.83,14909,16311,100,8.9215,4.5911,3.555,7.8279,2.3804,9.7103,,,,,,
17,21.507938,0.436,2.2663,37.014976,0.1262,0.7087,1.721,0.0011,5.0,0.09957224,354.77,14909,16311,100,7.2226,3.7137,2.8832,6.2631,1.8707,7.6463,,,,,,
18,20.897235,0.6636,2.7574,27.761313,0.5145,1.8542,1.3285,0.0041,5.0,0.09945883,355.76,14909,16311,100,9.6301,4.9777,3.8423,8.4035,2.5046,10.0203,,,,,,
19,20.358994,0.8002,3.4713,28.092473,0.6504,2.0969,1.3799,0.0046,5.0,0.09933217,319.46,14905,16311,100,9.8146,5.1055,3.4929,7.7305,2.2328,9.1533,,,,,,
20,19.863249,0.9607,4.0894,34.095202,0.233,0.9708,1.7165,0.0017,5.0,0.0991923,489.89,14909,16311,100,8.8632,4.5426,3.3259,7.3427,2.1668,8.8107,61.4609,16.0587,29.4361,33.8161,17.9074,38.8262
21,19.411061,1.1883,4.6548,32.177114,0.3786,1.4465,1.6577,0.0029,5.0,0.09903926,354.06,14909,16311,100,9.2321,4.7893,3.6307,8.105,2.3804,9.7749,,,,,,
22,19.063052,1.4278,5.1675,35.210745,0.398,1.5435,1.8471,0.0029,5.0,0.0988731,354.65,14905,16311,100,8.3778,4.3119,3.3007,7.3328,2.1823,8.952,,,,,,
23,18.667828,1.6482,6.0778,22.466876,0.9319,3.7181,1.2035,0.0074,5.0,0.09869385,355.34,14983,16311,100,12.2998,6.4603,4.8151,10.4264,3.1463,12.4089,,,,,,
24,18.32475,1.9597,6.6192,26.972493,0.8155,2.9997,1.4719,0.0063,5.0,0.09850156,319.94,14896,16311,100,10.7077,5.7256,4.0384,8.8029,2.623,10.394,,,,,,
25,18.013624,2.1465,7.3787,22.564727,1.427,4.8539,1.2526,0.0097,5.0,0.09829629,489.52,14900,16311,100,12.3483,6.5942,4.8947,10.4603,3.2375,12.5197,78.0724,20.8334,41.0402,46.0155,25.184,52.1116
26,17.669443,2.5993,7.9991,26.208636,0.796,2.8153,1.4833,0.0065,5.0,0.09807809,354.69,14900,16311,100,11.329,5.988,4.6772,10.0946,3.0939,12.2652,,,,,,
27,17.333496,2.743,8.8927,22.999203,2.0775,6.1839,1.3269,0.0163,5.0,0.09784702,354.47,14895,16311,100,12.358,6.443,4.6927,9.8948,2.991,11.45,,,,,,
28,17.096066,2.8868,9.2664,25.895511,1.4756,4.0482,1.5147,0.0118,5.0,0.09760313,355.01,14899,16311,100,12.2998,6.5033,4.7626,10.2835,3.191,12.5246,,,,,,
29,16.776597,3.3659,10.2415,22.283359,1.7959,5.3005,1.3282,0.0134,5.0,0.09734651,320.21,14899,16311,100,13.1929,6.9318,5.2344,11.2693,3.4434,13.4399,,,,,,
30,16.515337,3.6127,10.6703,33.288017,0.7863,2.0969,2.0156,0.0068,5.0,0.0970772,489.83,14899,16311,100,10.4747,5.4991,3.8501,8.2878,2.4755,9.7302,70.0901,18.5692,35.3078,39.9447,21.5191,45.2761
31,16.212722,3.845,11.5711,24.484756,1.7571,4.7762,1.5102,0.0145,5.0,0.0967953,354.05,14899,16311,100,12.7463,6.8519,5.248,11.6158,3.4171,13.7765,,,,,,
32,15.932728,4.4416,12.4263,22.516103,2.5046,7.1838,1.4132,0.019,5.0,0.09650086,354.88,14974,16311,100,13.523,7.0302,5.1238,10.8325,3.3278,12.687,,,,,,
33,15.738245,4.4919,13.1882,27.803029,1.2135,3.8734,1.7666,0.0092,5.0,0.09619398,355.51,14973,16311,100,12.6201,6.8511,5.184,11.3311,3.3667,13.3932,,,,,,
34,15.478848,4.9015,13.8781,20.874794,4.0676,10.2417,1.3486,0.0307,5.0,0.09587472,320.34,14899,16311,100,14.0666,7.2614,5.4247,11.2856,3.5065,12.971,,,,,,
35,15.231139,5.2729,14.8244,29.525329,1.3979,4.1841,1.9385,0.0107,5.0,0.09554319,490.2,14899,16311,100,11.0281,5.9236,4.4986,9.778,2.9259,11.5352,72.4211,19.1129,38.6503,42.5409,24.1447,48.6102
36,14.996082,5.6131,15.1119,28.618852,1.3203,3.1162,1.9084,0.01,5.0,0.09519946,354.17,14899,16311,100,12.2804,6.4586,4.6656,9.9392,2.9686,11.3508,,,,,,
37,14.806464,5.8406,15.6892,23.041082,2.825,7.8051,1.5562,0.0226,5.0,0.09484364,354.19,14899,16311,100,14.387,7.7345,6.1179,12.9887,3.9637,15.1594,,,,,,
38,14.475486,6.2359,16.9254,20.903532,3.0482,7.6789,1.4441,0.022,5.0,0.0944758,355.26,14899,16311,100,14.6199,7.8429,6.0577,12.9385,3.9462,15.1003,,,,,,
39,14.266469,6.6863,17.6561,20.652495,4.1744,10.3776,1.4476,0.0308,5.0,0.09409606,320.25,14899,16311,100,14.5132,7.6568,5.9878,12.3696,3.8734,14.2485,,,,,,
40,14.034456,7.3164,18.5065,30.416548,0.9708,2.825,2.1673,0.007,5.0,0.09370452,490.25,14895,16311,100,11.6785,6.2867,4.7471,10.1895,3.0415,11.792,73.2643,19.5066,39.541,43.4819,24.8124,49.7024
41,13.785936,7.508,19.1102,25.60818,2.0483,4.9316,1.8576,0.0147,5.0,0.09330127,354.8,14899,16311,99,14.0666,7.4767,5.6752,11.8963,3.6948,13.9799,,,,,,
42,13.55409,7.7404,19.8864,21.810934,4.0384,9.5428,1.6092,0.0291,5.0,0.09288643,354.4,14974,16311,99,14.5326,7.7739,5.9994,12.8387,3.9443,15.0955,,,,,,
43,13.324635,8.3681,21.022,30.25398,1.1941,3.0385,2.2705,0.0083,5.0,0.09246011,355.93,14895,16311,99,12.5036,6.4974,4.8073,10.0009,3.0512,11.5089,,,,,,
44,13.086759,9.0484,21.8221,23.387933,3.0094,7.0673,1.7871,0.0216,5.0,0.09202242,319.9,14899,16311,100,14.3772,7.6992,5.9256,12.4897,3.8889,14.6835,,,,,,
45,12.858907,9.1131,22.0282,25.588794,3.0677,7.0382,1.99,0.023,5.0,0.09157348,490.44,14905,16311,100,13.8821,7.4433,5.7548,12.3965,3.7579,14.5171,79.2583,21.0485,45.958,48.8766,29.8457,56.6078
46,12.632468,9.736,23.4704,24.885278,2.5337,6.3877,1.9699,0.0192,5.0,0.09111341,355.14,14896,16311,99,14.319,7.5426,5.6927,11.8692,3.6433,13.6673,,,,,,
47,12.406073,10.0379,23.9711,23.42615,2.8444,7.3488,1.8883,0.0196,5.0,0.09064233,355.17,14899,16311,99,15.183,8.0389,6.147,12.6287,4.0045,14.7347,,,,,,
48,12.200003,10.5242,25.2863,22.358679,3.9511,9.5719,1.8327,0.0286,5.0,0.09016038,355.79,14899,16311,99,14.7656,7.878,6.2382,12.837,4.0647,14.8802,,,,,,
49,11.96279,11.0512,25.902,23.053626,2.7279,6.4945,1.9271,0.0171,5.0,0.08966767,320.36,14899,16311,100,16.1246,8.4992,6.9158,13.9613,4.65,16.6093,,,,,,
50,11.796841,11.3195,26.5752,20.495562,5.1354,12.7269,1.7374,0.0382,5.0,0.08916434,490.07,14899,16311,100,15.6781,8.2876,6.5838,13.4484,4.3151,15.6481,85.8057,22.995,51.3435,54.0189,33.4749,62.0057
51,11.526418,12.3712,27.876,23.866819,3.6793,8.8729,2.0706,0.0239,5.0,0.08865052,355.29,14970,16311,100,14.9112,7.7875,6.0344,12.423,3.8715,14.2412,,,,,,
52,11.381098,12.3449,28.2593,26.728677,2.2522,5.6402,2.3485,0.0155,5.0,0.08812636,355.24,14973,16311,98,14.4258,7.6169,5.4655,11.531,3.4657,13.1171,,,,,,
53,11.148352,12.7737,28.8271,19.14566,6.7275,15.1927,1.7174,0.0516,5.0,0.08759199,355.91,14899,16311,99,16.2703,8.6024,6.9178,14.1318,4.4899,16.2288,,,,,,
54,11.000588,13.5283,30.0728,20.721026,4.8927,11.8144,1.8836,0.0364,5.0,0.08704756,319.77,14899,16311,100,16.9304,8.9957,7.1449,14.5133,4.6384,16.7154,,,,,,
55,10.766727,13.9548,31.1437,16.429858,9.7952,20.3475,1.526,0.0755,5.0,0.0864932,490.33,14899,16311,100,18.6778,9.9515,8.1759,16.5232,5.3626,18.9808,89.8376,24.0417,57.9153,58.9872,39.3678,68.9256
56,10.5093,14.7837,32.0349,19.877902,6.0965,14.086,1.8915,0.044,5.0,0.08592908,355.97,15486,16311,100,16.6197,8.6735,7.2517,14.568,4.8073,16.9078,,,,,,
57,10.295436,15.3395,33.0099,15.982052,8.9797,20.0272,1.5523,0.0661,5.0,0.08535534,361.91,15562,16311,100,20.464,11.039,9.2243,18.7608,6.0014,21.4452,,,,,,
58,10.145331,15.5623,33.6975,21.548942,5.0092,10.8533,2.124,0.0348,5.0,0.08477213,359.8,15073,16311,100,16.3091,8.6703,7.075,14.4306,4.718,16.9423,,,,,,
59,9.970129,16.3936,34.7588,17.605229,7.8924,17.377,1.7658,0.0571,5.0,0.08417962,323.66,14590,16311,100,18.8914,10.1318,8.3875,16.8323,5.58,19.5421,,,,,,
60,9.72336,16.82,35.6883,25.370579,3.9025,8.6691,2.6092,0.0269,5.0,0.08357795,489.35,14630,16311,100,14.8238,7.9633,6.4596,13.2902,4.1996,15.302,81.5222,21.5859,49.1366,51.0317,32.2613,58.9841
61,9.55784,17.7064,36.395,14.552204,12.0959,25.0267,1.5225,0.0906,5.0,0.08296729,353.05,14612,16311,99,20.9009,11.221,9.6379,19.0814,6.345,21.8266,,,,,,
62,9.307956,18.2071,37.5856,22.077308,5.0966,11.3775,2.3719,0.0347,5.0,0.08234781,353.66,14602,16311,99,17.1343,8.8316,7.343,14.3251,4.883,16.5651,,,,,,
63,9.161224,18.794,38.3331,17.762767,9.8922,19.9107,1.9389,0.0751,5.0,0.08171966,353.11,14586,16311,99,18.2798,9.6699,7.8886,15.5706,5.2053,18.0311,,,,,,
64,8.988372,19.6972,39.507,29.693396,3.456,6.776,3.3035,0.0259,5.0,0.08108303,317.94,14586,16311,100,16.1732,8.6424,6.9585,14.0926,4.5112,16.247,,,,,,
65,8.798544,20.1452,40.3718,18.288608,8.106,17.6391,2.0786,0.0571,5.0,0.08043807,489.56,14570,16311,100,18.9787,9.849,8.3875,16.1834,5.5684,18.8111,91.4355,24.4802,59.9856,60.3297,41.2752,70.658
66,8.625687,20.7249,41.1504,16.59428,11.5523,22.5415,1.9238,0.0862,5.0,0.07978497,353.53,14570,16311,99,18.4448,9.5998,8.0905,15.7403,5.3752,18.1714,,,,,,
67,8.427507,21.446,42.4249,20.748349,7.6012,15.3577,2.462,0.0544,5.0,0.07912388,353.07,14570,16311,99,17.5808,9.4301,7.8303,15.6365,5.1898,18.1433,,,,,,
68,8.222384,22.2558,43.0693,17.13233,9.3389,19.202,2.0836,0.0624,5.0,0.07845501,353.52,14570,16311,100,20.3087,10.7249,9.4049,18.3238,6.2489,21.0559,,,,,,
69,8.007842,23.1973,44.3678,16.347258,11.494,23.1143,2.0414,0.0817,5.0,0.07777851,318.36,14570,16311,100,20.5805,11.0074,9.5136,18.4869,6.3062,21.2071,,,,,,
70,7.826411,23.9327,45.3883,19.77951,8.271,16.6197,2.5273,0.0585,5.0,0.07709458,489.22,14570,16311,100,17.9594,9.3006,7.8594,15.0972,5.1354,17.2434,89.6268,23.8824,58.1299,58.5493,39.5199,68.061
71,7.653362,24.4909,46.2388,16.096266,10.9504,21.7455,2.1032,0.078,5.0,0.07640339,353.14,14621,16311,100,21.0853,11.2754,9.7777,18.7935,6.4965,21.496,,,,,,
72,7.424761,25.4109,47.6762,22.151737,7.4265,14.5034,2.9835,0.0528,5.0,0.07570514,352.87,14624,16311,100,17.1925,9.0935,7.5721,15.1775,4.949,17.406,,,,,,
73,7.281872,26.3763,48.5482,16.304402,11.397,22.5803,2.239,0.0776,5.0,0.075,353.48,14618,16311,100,21.5319,11.5028,9.9602,19.3769,6.5421,21.9229,,,,,,
74,7.107527,27.2795,49.4753,14.350646,15.5228,29.1428,2.0191,0.1176,5.0,0.07428817,317.65,14594,16311,100,21.7358,11.6993,10.0456,19.5525,6.6693,22.3068,,,,,,
